vehicle_no,energytypegroup_x,model_name,brand_name
106512,Benzin,eVito 129KB Tourer Pro 3200,Mercedes-Benz
106516,Benzin,eVito 129KB Tourer Pro 3200,Mercedes-Benz
106517,Benzin,eVito 129KB Tourer Pro 3200,Mercedes-Benz
106518,Benzin,eVito 129KB Tourer Pro 3200,Mercedes-Benz
106519,Benzin,eVito 129KB Tourer Pro 3200,Mercedes-Benz
107092,Benzin,eVito 129KB Tourer Pro 3200,Mercedes-Benz
113287,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
113289,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
113293,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
114627,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
114628,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
114629,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
114630,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
114632,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
114633,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
114634,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
114635,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
114636,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
114637,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
114638,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
114639,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
114640,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
114641,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
114642,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
114643,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
114644,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
114645,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
114646,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115367,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115369,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115370,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115371,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115372,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115373,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115374,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115375,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115376,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115797,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115798,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115799,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115800,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115801,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115802,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115803,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115804,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115805,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115806,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115807,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115808,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115809,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115810,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
115811,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
116207,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
116208,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
116209,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
116210,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
116211,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
116212,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
116213,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
116215,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
116216,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
116217,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
116218,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
116219,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
116697,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
116698,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
116700,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
116974,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
122653,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
122898,Diesel,eVito 129KB Tourer Pro 3200,Mercedes-Benz
